admin_code,admin_name,district_name,legal_dong,match_type,text,source
11620745,삼성동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620765,미성동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620725,조원동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620735,대학동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11440590,용강동,마포구,대흥동,legal_exact,경의선 숲길에서 걷기 좋아요,survey
11440600,대흥동,마포구,대흥동,legal_exact,경의선 숲길에서 걷기 좋아요,survey
11440630,신수동,마포구,대흥동,legal_exact,경의선 숲길에서 걷기 좋아요,survey
11440630,신수동,마포구,신수동,legal_exact,젊은 사람들이 많고 번화가라서 술집이 많아서 활력이 넘쳐요,survey
11440600,대흥동,마포구,신수동,legal_exact,젊은 사람들이 많고 번화가라서 술집이 많아서 활력이 넘쳐요,survey
11440655,서강동,마포구,상수동,legal_exact,건물이 대체로 낮고 평화롭지만 골목골목 길이 좁아 차가 다니기 곤란합니다.,survey
11440630,신수동,마포구,신수동,legal_exact,오르막길이 많아요,survey
11440600,대흥동,마포구,신수동,legal_exact,오르막길이 많아요,survey
11200645,옥수동,성동구,옥수동,legal_exact,오르막이 심함,survey
11680610,대치2동,강남구,대치동,legal_exact,학원이많아서 사람도많고 항상 막힌다,survey
11680600,대치1동,강남구,대치동,legal_exact,학원이많아서 사람도많고 항상 막힌다,survey
11680630,대치4동,강남구,대치동,legal_exact,학원이많아서 사람도많고 항상 막힌다,survey
11680740,일원2동,강남구,대치동,legal_exact,학원이많아서 사람도많고 항상 막힌다,survey
11440630,신수동,마포구,신수동,legal_exact,대학가 근처라 저렴한 식당들이 많다,survey
11440600,대흥동,마포구,신수동,legal_exact,대학가 근처라 저렴한 식당들이 많다,survey
11560710,대림2동,영등포구,대림동,legal_exact,작은 중국 중국 사람이 많고 저녁에 다니기 무서운 곳,survey
11560700,대림1동,영등포구,대림동,legal_exact,작은 중국 중국 사람이 많고 저녁에 다니기 무서운 곳,survey
11560670,신길5동,영등포구,대림동,legal_exact,작은 중국 중국 사람이 많고 저녁에 다니기 무서운 곳,survey
11560720,대림3동,영등포구,대림동,legal_exact,작은 중국 중국 사람이 많고 저녁에 다니기 무서운 곳,survey
11620775,난곡동,관악구,난곡동,admin_exact,쓰레기가 너무 많아요,survey
11500540,화곡1동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11500615,우장산동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11500570,화곡4동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11500590,화곡본동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11500593,화곡8동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11500591,화곡6동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11500560,화곡3동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11500550,화곡2동,강서구,화곡동,legal_exact,여기도 쓰레기가 많아요,survey
11560560,당산2동,영등포구,당산동,legal_exact,지구대가 바로 앞이라 안전한 거 같아요,survey
11620715,난향동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620775,난곡동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620695,신림동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620685,신사동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620665,서림동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620655,신원동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620645,서원동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620745,삼성동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620765,미성동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620725,조원동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11620735,대학동,관악구,신림동,legal_exact,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
11305535,미아동,강북구,미아동,legal_exact,구 시가지의 끝판왕,survey
11305575,삼각산동,강북구,미아동,legal_exact,구 시가지의 끝판왕,survey
11305545,송중동,강북구,미아동,legal_exact,구 시가지의 끝판왕,survey
11305555,송천동,강북구,미아동,legal_exact,구 시가지의 끝판왕,survey
11305534,삼양동,강북구,미아동,legal_exact,구 시가지의 끝판왕,survey
11200790,용답동,성동구,용답동,legal_exact,차파는 사람이 많음 신차든 중고차든,survey
11590510,노량진1동,동작구,본동,legal_exact,주변을 걸어다니기 좋아요,survey
11305615,수유1동,강북구,수유동,legal_exact,이것저것 다 있고 좋은 동네,survey
11305660,인수동,강북구,수유동,legal_exact,이것저것 다 있고 좋은 동네,survey
11305635,수유3동,강북구,수유동,legal_exact,이것저것 다 있고 좋은 동네,survey
11305645,우이동,강북구,수유동,legal_exact,이것저것 다 있고 좋은 동네,survey
11305625,수유2동,강북구,수유동,legal_exact,이것저것 다 있고 좋은 동네,survey
11530770,오류1동,구로구,오류동,legal_exact,조용하고 가라앉아있는 동네,survey
11530780,오류2동,구로구,오류동,legal_exact,조용하고 가라앉아있는 동네,survey
11680565,청담동,강남구,청담동,legal_exact,사람이 많아요.,survey
11440690,망원1동,마포구,망원동,legal_exact,시장과 한강이 가까워 산책하기 좋고 활기찬 분위기예요.,survey
11440700,망원2동,마포구,망원동,legal_exact,시장과 한강이 가까워 산책하기 좋고 활기찬 분위기예요.,survey
11305535,미아동,강북구,미아동,legal_exact,마트도 다양하고 사람 사는 느낌이 나는 동,survey
11305575,삼각산동,강북구,미아동,legal_exact,마트도 다양하고 사람 사는 느낌이 나는 동,survey
11305545,송중동,강북구,미아동,legal_exact,마트도 다양하고 사람 사는 느낌이 나는 동,survey
11305555,송천동,강북구,미아동,legal_exact,마트도 다양하고 사람 사는 느낌이 나는 동,survey
11305534,삼양동,강북구,미아동,legal_exact,마트도 다양하고 사람 사는 느낌이 나는 동,survey
11305555,송천동,강북구,송천동,admin_exact,편의시설이 가까이에 있어서 괜찮은 동네,survey
11320512,창2동,도봉구,창동,legal_exact,"교통과 생활 인프라가 편리 하며 은행, 카페, 병원등 다양한 편의 시설이 잘 갖추어진 좋은 주거 지역 입니다.",survey
11320515,창5동,도봉구,창동,legal_exact,"교통과 생활 인프라가 편리 하며 은행, 카페, 병원등 다양한 편의 시설이 잘 갖추어진 좋은 주거 지역 입니다.",survey
11320514,창4동,도봉구,창동,legal_exact,"교통과 생활 인프라가 편리 하며 은행, 카페, 병원등 다양한 편의 시설이 잘 갖추어진 좋은 주거 지역 입니다.",survey
11320513,창3동,도봉구,창동,legal_exact,"교통과 생활 인프라가 편리 하며 은행, 카페, 병원등 다양한 편의 시설이 잘 갖추어진 좋은 주거 지역 입니다.",survey
11320511,창1동,도봉구,창동,legal_exact,"교통과 생활 인프라가 편리 하며 은행, 카페, 병원등 다양한 편의 시설이 잘 갖추어진 좋은 주거 지역 입니다.",survey
11170555,청파동,용산구,청파동,admin_exact,숙대 대학가 주변 지역 근처에는 맛집과 카페가 많으며 4호선과 1호선이 가까워서 교통이 편리 하며 활기찬 분위기를 형성 합니다.,survey
11440590,용강동,마포구,토정동,legal_exact,조용함,survey
11440590,용강동,마포구,용강동,legal_exact,한적함,survey
11410615,연희동,서대문구,연희동,legal_exact,사러가 쇼핑몰이 유용해서 좋아요.,survey
11440630,신수동,마포구,신수동,legal_exact,대학교 앞 맛집이 부족해요.,survey
11440600,대흥동,마포구,신수동,legal_exact,대학교 앞 맛집이 부족해요.,survey
11680565,청담동,강남구,청담동,legal_exact,역시 부자동네입니다. 아주 비싸더라고요.,survey
11410615,연희동,서대문구,연희동,legal_exact,중식 맛집이 많아요.,survey
11710650,잠실본동,송파구,잠실동,legal_exact,지하철 이용이 편하고 공원과 쇼핑시설이 가까워 생활하기 편리해요.,survey
11710720,잠실7동,송파구,잠실동,legal_exact,지하철 이용이 편하고 공원과 쇼핑시설이 가까워 생활하기 편리해요.,survey
11710680,잠실3동,송파구,잠실동,legal_exact,지하철 이용이 편하고 공원과 쇼핑시설이 가까워 생활하기 편리해요.,survey
11710670,잠실2동,송파구,잠실동,legal_exact,지하철 이용이 편하고 공원과 쇼핑시설이 가까워 생활하기 편리해요.,survey
11710600,석촌동,송파구,석촌동,legal_exact,석촌호수 주변이 산책하기 좋고 음식점도 많아서 분위기가 좋아요.,survey
11200650,성수1가1동,성동구,성수동,legal_prefix,카페와 상점이 많고 분위기가 활기차지만 사람이 많고 물가가 조금 비싼 느낌이에요.,survey
11200660,성수1가2동,성동구,성수동,legal_prefix,카페와 상점이 많고 분위기가 활기차지만 사람이 많고 물가가 조금 비싼 느낌이에요.,survey
11200690,성수2가3동,성동구,성수동,legal_prefix,카페와 상점이 많고 분위기가 활기차지만 사람이 많고 물가가 조금 비싼 느낌이에요.,survey
11200670,성수2가1동,성동구,성수동,legal_prefix,카페와 상점이 많고 분위기가 활기차지만 사람이 많고 물가가 조금 비싼 느낌이에요.,survey
11215847,자양4동,광진구,자양동,legal_exact,한강과 가깝고 생활편의시설이 많아서 살기 편해 보였어요.,survey
11215840,자양3동,광진구,자양동,legal_exact,한강과 가깝고 생활편의시설이 많아서 살기 편해 보였어요.,survey
11215820,자양1동,광진구,자양동,legal_exact,한강과 가깝고 생활편의시설이 많아서 살기 편해 보였어요.,survey
11215830,자양2동,광진구,자양동,legal_exact,한강과 가깝고 생활편의시설이 많아서 살기 편해 보였어요.,survey
11620605,은천동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620615,중앙동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620585,낙성대동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620525,보라매동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620545,청림동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620565,성현동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620575,행운동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620595,청룡동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620625,인헌동,관악구,봉천동,legal_exact,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
11620715,난향동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620775,난곡동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620695,신림동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620685,신사동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620665,서림동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620655,신원동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620645,서원동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620745,삼성동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620765,미성동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620725,조원동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11620735,대학동,관악구,신림동,legal_exact,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
11680640,역삼1동,강남구,역삼동,legal_exact,지하철과 버스가 많아 교통은 편리하지만 출퇴근 시간에는 많이 복잡해요.,survey
11680650,역삼2동,강남구,역삼동,legal_exact,지하철과 버스가 많아 교통은 편리하지만 출퇴근 시간에는 많이 복잡해요.,survey
11680610,대치2동,강남구,대치동,legal_exact,학원가가 잘 형성되어 있고 생활시설이 많지만 교통량이 많은 편이에요.,survey
11680600,대치1동,강남구,대치동,legal_exact,학원가가 잘 형성되어 있고 생활시설이 많지만 교통량이 많은 편이에요.,survey
11680630,대치4동,강남구,대치동,legal_exact,학원가가 잘 형성되어 있고 생활시설이 많지만 교통량이 많은 편이에요.,survey
11680740,일원2동,강남구,대치동,legal_exact,학원가가 잘 형성되어 있고 생활시설이 많지만 교통량이 많은 편이에요.,survey
11440690,망원1동,마포구,망원동,legal_exact,한강과 가까워 산책하기 좋고 맛집도 많지만 주말에는 사람이 많은 편이에요.,survey
11440700,망원2동,마포구,망원동,legal_exact,한강과 가까워 산책하기 좋고 맛집도 많지만 주말에는 사람이 많은 편이에요.,survey
11440710,연남동,마포구,연남동,legal_exact,카페와 식당이 많아서 놀기 좋지만 주말에는 많이 붐비는 것 같아요.,survey
11470580,신월3동,양천구,신월동,legal_exact,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
11470590,신월4동,양천구,신월동,legal_exact,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
11470600,신월5동,양천구,신월동,legal_exact,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
11470610,신월6동,양천구,신월동,legal_exact,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
11470611,신월7동,양천구,신월동,legal_exact,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
11470570,신월2동,양천구,신월동,legal_exact,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
11470560,신월1동,양천구,신월동,legal_exact,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
11470550,목5동,양천구,목동,legal_exact,편의시설도 많고 맛집도 다양하지만 주로 학원가,survey
11470530,목3동,양천구,목동,legal_exact,편의시설도 많고 맛집도 다양하지만 주로 학원가,survey
11470510,목1동,양천구,목동,legal_exact,편의시설도 많고 맛집도 다양하지만 주로 학원가,survey
11470520,목2동,양천구,목동,legal_exact,편의시설도 많고 맛집도 다양하지만 주로 학원가,survey
11470540,목4동,양천구,목동,legal_exact,편의시설도 많고 맛집도 다양하지만 주로 학원가,survey
11440655,서강동,마포구,상수동,legal_exact,"시끄러운 곳만 지나면 매우 조용한,,",survey
11290660,길음1동,성북구,길음동,legal_exact,아이가 많고 거주자가 많아요,survey
11290620,정릉1동,성북구,길음동,legal_exact,아이가 많고 거주자가 많아요,survey
11290685,길음2동,성북구,길음동,legal_exact,아이가 많고 거주자가 많아요,survey
11710647,위례동,송파구,위례동,admin_exact,계획 신도시의 정갈한 위력.,survey
